orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
1 0 -1 0	prismatic_m	2	a	3	0 -1 1 0	2 -1 -1 0	120.0	30.0	-0.4330127019	3.25	1147.7	0.001	0.433	0.0410	0.000036
1 0 -1 0	prismatic_m	2	a+c	5	0 -1 1 0	2 -1 -1 3	120.0	62.7	-0.229496273	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_m	2	a+c	6	0 -1 1 0	2 -1 -1 -3	120.0	62.7	-0.229496273	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_m	3	a	1	-1 1 0 0	-1 -1 2 0	120.0	150.0	0.4330127019	3.25	1147.7	0.001	0.433	0.0410	0.000036
1 0 -1 0	prismatic_m	3	a+c	1	-1 1 0 0	-1 -1 2 3	120.0	117.3	0.229496273	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_m	3	a+c	2	-1 1 0 0	-1 -1 2 -3	120.0	117.3	0.229496273	6.132087735836792	N/A	N/A	0.229	0.0061	N/A
1 0 -1 0	prismatic_a	1	b	3	1 1 -2 0	-1 1 0 0	30.0	120.0	-0.4330127019	5.629165124598851	2307.7	0.001	0.433	0.0137	0.000006
1 0 -1 0	prismatic_a	1	b+c	5	1 1 -2 0	-1 1 0 1	30.0	111.5	-0.3180708486739881	7.663386979658537	N/A	N/A	0.318	0.0054	N/A
1 0 -1 0	prismatic_a	1	b+c	6	1 1 -2 0	-1 1 0 -1	30.0	111.5	-0.3180708486739881	7.663386979658537	N/A	N/A	0.318	0.0054	N/A
1 0 -1 0	prismatic_a	1	b/2+c	5	1 1 -2 0	-1 1 0 2	30.0	103.8	-0.20611864123519258	11.825713509129164	N/A	N/A	0.206	0.0015	N/A
1 0 -1 0	prismatic_a	1	b/2+c	6	1 1 -2 0	-1 1 0 -2	30.0	103.8	-0.20611864123519258	11.825713509129164	N/A	N/A	0.206	0.0015	N/A
