orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, 1, -2, 1.8721632653061226]	basal	1	a	1	0 0 0 1	-1 2 -1 0	45.0	69.3	0.2499999893595199	3.2494	1070.4	0.001	0.250	0.0237	0.000022
[1, 1, -2, 1.8721632653061226]	basal	1	a	2	0 0 0 1	-1 -1 2 0	45.0	135.0	-0.4999999787190398	3.2494	1070.4	0.001	0.500	0.0474	0.000044
[1, 1, -2, 1.8721632653061226]	basal	1	a	3	0 0 0 1	-2 1 1 0	45.0	110.7	-0.2499999893595199	3.2494	1070.4	0.001	0.250	0.0237	0.000022
[1, 1, -2, 1.8721632653061226]	basal	1	b	1	0 0 0 1	-1 0 1 0	45.0	127.8	-0.43301268350031324	5.6281258941143095	1385.3	0.001	0.433	0.0137	0.000010
[1, 1, -2, 1.8721632653061226]	basal	1	b	2	0 0 0 1	0 -1 1 0	45.0	127.8	-0.43301268350031324	5.6281258941143095	1385.3	0.001	0.433	0.0137	0.000010
[1, 1, -2, 1.8721632653061226]	basal	1	p_{part}	1	0 0 0 1	-1 0 1 0	45.0	127.8	-0.43301268350031324	1.87604196470477	N/A	N/A	0.433	0.1230	N/A
[1, 1, -2, 1.8721632653061226]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	45.0	127.8	-0.43301268350031324	1.87604196470477	N/A	N/A	0.433	0.1230	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	1	a	1	-1 0 1 0	-1 2 -1 0	127.8	69.3	-0.2165694659407815	3.2494	1147.7	0.001	0.217	0.0205	0.000018
[1, 1, -2, 1.8721632653061226]	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	127.8	45.0	-0.43301268350031324	5.2054	2121.8	0.001	0.433	0.0160	0.000008
[1, 1, -2, 1.8721632653061226]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	127.8	49.8	-0.39500359389879014	11.050954366026494	N/A	N/A	0.395	0.0032	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	127.8	91.2	0.012925739265771416	11.050954366026494	N/A	N/A	0.013	0.0001	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	127.8	38.1	-0.48200071966098146	6.1363498531293015	N/A	N/A	0.482	0.0128	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	127.8	114.4	0.25263934376395136	6.1363498531293015	N/A	N/A	0.253	0.0067	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	127.8	110.7	0.2165694659407815	3.2494	1147.7	0.001	0.217	0.0205	0.000018
[1, 1, -2, 1.8721632653061226]	prismatic_m	2	c	1	0 -1 1 0	0 0 0 1	127.8	45.0	-0.43301268350031324	5.2054	2121.8	0.001	0.433	0.0160	0.000008
[1, 1, -2, 1.8721632653061226]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	127.8	88.8	-0.012925739265771416	11.050954366026494	N/A	N/A	0.013	0.0001	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	127.8	130.2	0.39500359389879014	11.050954366026494	N/A	N/A	0.395	0.0032	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	127.8	65.6	-0.25263934376395136	6.1363498531293015	N/A	N/A	0.253	0.0067	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	127.8	141.9	0.48200071966098146	6.1363498531293015	N/A	N/A	0.482	0.0128	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	b	1	-1 2 -1 0	-1 0 1 0	69.3	127.8	-0.2165694659407815	5.6281258941143095	2307.7	0.001	0.217	0.0068	0.000003
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	c	1	-1 2 -1 0	0 0 0 1	69.3	45.0	0.2499999893595199	5.2054	2302.8	0.001	0.250	0.0092	0.000004
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	b+c	1	-1 2 -1 0	-1 0 1 1	69.3	88.3	0.010757450346813567	7.666289209258936	N/A	N/A	0.011	0.0002	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	b+c	2	-1 2 -1 0	-1 0 1 -1	69.3	158.4	-0.3287418586817432	7.666289209258936	N/A	N/A	0.329	0.0056	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	\frac{b+c}{2}_{part}	1	-1 2 -1 0	-1 0 1 1	69.3	88.3	0.010757450346813567	3.833144604629468	N/A	N/A	0.011	0.0007	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	\frac{b+c}{2}_{part}	2	-1 2 -1 0	-1 0 1 -1	69.3	158.4	-0.3287418586817432	3.833144604629468	N/A	N/A	0.329	0.0224	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	\frac{b}{2}+c	1	-1 2 -1 0	-1 0 1 2	69.3	70.7	0.11692882187584498	11.834718320264324	N/A	N/A	0.117	0.0008	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	\frac{b}{2}+c	2	-1 2 -1 0	-1 0 1 -2	69.3	156.0	-0.32291263762245165	11.834718320264324	N/A	N/A	0.323	0.0023	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	3 0 -3 2	3	-1 2 -1 0	3 0 -3 2	69.3	26.8	0.31555454663951843	19.836001773542975	N/A	N/A	0.316	0.0008	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	1	3 0 -3 2	4	-1 2 -1 0	3 0 -3 -2	69.3	81.4	0.05313272199040993	19.836001773542975	N/A	N/A	0.053	0.0001	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	2	c	1	-1 -1 2 0	0 0 0 1	135.0	45.0	-0.4999999787190398	5.2054	2302.8	0.001	0.500	0.0185	0.000008
[1, 1, -2, 1.8721632653061226]	prismatic_a	2	b+c	5	-1 -1 2 0	-1 1 0 1	135.0	61.3	-0.3394993089931963	7.666289209258936	N/A	N/A	0.339	0.0058	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	2	b+c	6	-1 -1 2 0	-1 1 0 -1	135.0	118.7	0.3394993089931963	7.666289209258936	N/A	N/A	0.339	0.0058	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	2	\frac{b+c}{2}_{part}	5	-1 -1 2 0	-1 1 0 1	135.0	61.3	-0.3394993089931963	3.833144604629468	N/A	N/A	0.339	0.0231	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	2	\frac{b+c}{2}_{part}	6	-1 -1 2 0	-1 1 0 -1	135.0	118.7	0.3394993089931963	3.833144604629468	N/A	N/A	0.339	0.0231	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	2	\frac{b}{2}+c	5	-1 -1 2 0	-1 1 0 2	135.0	51.5	-0.4398414594629362	11.834718320264324	N/A	N/A	0.440	0.0031	N/A
[1, 1, -2, 1.8721632653061226]	prismatic_a	2	\frac{b}{2}+c	6	-1 -1 2 0	-1 1 0 -2	135.0	128.5	0.4398414594629362	11.834718320264324	N/A	N/A	0.440	0.0031	N/A
