orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, 0, -1, 0.39385474860335207]	basal	1	a	2	0 0 0 1	-1 -1 2 0	70.0	144.5	-0.27851221475046	3.2494	1070.4	0.001	0.279	0.0264	0.000025
[1, 0, -1, 0.39385474860335207]	basal	1	a	3	0 0 0 1	-2 1 1 0	70.0	144.5	-0.27851221475046	3.2494	1070.4	0.001	0.279	0.0264	0.000025
[1, 0, -1, 0.39385474860335207]	basal	1	b	1	0 0 0 1	-1 0 1 0	70.0	160.0	-0.3215982043270684	5.6281258941143095	1385.3	0.001	0.322	0.0102	0.000007
[1, 0, -1, 0.39385474860335207]	basal	1	b	2	0 0 0 1	0 -1 1 0	70.0	118.0	-0.16079910214642068	5.6281258941143095	1385.3	0.001	0.161	0.0051	0.000004
[1, 0, -1, 0.39385474860335207]	basal	1	b	3	0 0 0 1	-1 1 0 0	70.0	118.0	-0.16079910214642068	5.6281258941143095	1385.3	0.001	0.161	0.0051	0.000004
[1, 0, -1, 0.39385474860335207]	basal	1	p_{part}	1	0 0 0 1	-1 0 1 0	70.0	160.0	-0.3215982043270684	1.87604196470477	N/A	N/A	0.322	0.0914	N/A
[1, 0, -1, 0.39385474860335207]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	70.0	118.0	-0.16079910214642068	1.87604196470477	N/A	N/A	0.161	0.0457	N/A
[1, 0, -1, 0.39385474860335207]	basal	1	p_{part}	3	0 0 0 1	-1 1 0 0	70.0	118.0	-0.16079910214642068	1.87604196470477	N/A	N/A	0.161	0.0457	N/A
[1, 0, -1, 0.39385474860335207]	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	160.0	70.0	-0.3215982043270684	5.2054	2121.8	0.001	0.322	0.0119	0.000006
[1, 0, -1, 0.39385474860335207]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	160.0	80.7	-0.15148440913873493	11.050954366026494	N/A	N/A	0.151	0.0012	N/A
[1, 0, -1, 0.39385474860335207]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	160.0	99.3	0.15148440913873493	11.050954366026494	N/A	N/A	0.151	0.0012	N/A
[1, 0, -1, 0.39385474860335207]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	160.0	73.1	-0.27280831978621883	6.1363498531293015	N/A	N/A	0.273	0.0072	N/A
[1, 0, -1, 0.39385474860335207]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	160.0	106.9	0.27280831978621883	6.1363498531293015	N/A	N/A	0.273	0.0072	N/A
