orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
1 1 -2 2	basal	1	a	1	0 0 0 1	-1 2 -1 0	43.1	70.0	0.24946040744942716	3.2494	1070.4	0.001	0.249	0.0236	0.000022
1 1 -2 2	basal	1	a	2	0 0 0 1	-1 -1 2 0	43.1	133.1	-0.498920814825859	3.2494	1070.4	0.001	0.499	0.0473	0.000044
1 1 -2 2	basal	1	a	3	0 0 0 1	-2 1 1 0	43.1	110.0	-0.24946040744942716	3.2494	1070.4	0.001	0.249	0.0236	0.000022
1 1 -2 2	basal	1	b	1	0 0 0 1	-1 0 1 0	43.1	126.3	-0.43207810009619657	5.6281258941143095	1385.3	0.001	0.432	0.0136	0.000010
1 1 -2 2	basal	1	b	2	0 0 0 1	0 -1 1 0	43.1	126.3	-0.43207810009619657	5.6281258941143095	1385.3	0.001	0.432	0.0136	0.000010
1 1 -2 2	prismatic_m	1	a	1	-1 0 1 0	-1 2 -1 0	126.3	70.0	-0.20228914858200217	3.2494	1147.7	0.001	0.202	0.0192	0.000017
1 1 -2 2	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	126.3	43.1	-0.43207810009619657	5.2054	2121.8	0.001	0.432	0.0159	0.000008
1 1 -2 2	prismatic_m	1	a/3+c	1	-1 0 1 0	-1 2 -1 1	126.3	49.8	-0.38196650537478744	11.050954366026494	N/A	N/A	0.382	0.0031	N/A
1 1 -2 2	prismatic_m	1	a/3+c	2	-1 0 1 0	-1 2 -1 -1	126.3	92.4	0.025082382483581064	11.050954366026494	N/A	N/A	0.025	0.0002	N/A
1 1 -2 2	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	126.3	36.9	-0.4736460226973221	6.1363498531293015	N/A	N/A	0.474	0.0126	N/A
1 1 -2 2	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	126.3	116.0	0.259408446557204	6.1363498531293015	N/A	N/A	0.259	0.0069	N/A
1 1 -2 2	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	126.3	110.0	0.20228914858200217	3.2494	1147.7	0.001	0.202	0.0192	0.000017
1 1 -2 2	prismatic_m	2	c	1	0 -1 1 0	0 0 0 1	126.3	43.1	-0.43207810009619657	5.2054	2121.8	0.001	0.432	0.0159	0.000008
1 1 -2 2	prismatic_m	2	a/3+c	5	0 -1 1 0	-2 1 1 1	126.3	87.6	-0.025082382483581064	11.050954366026494	N/A	N/A	0.025	0.0002	N/A
1 1 -2 2	prismatic_m	2	a/3+c	6	0 -1 1 0	-2 1 1 -1	126.3	130.2	0.38196650537478744	11.050954366026494	N/A	N/A	0.382	0.0031	N/A
1 1 -2 2	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	126.3	64.0	-0.259408446557204	6.1363498531293015	N/A	N/A	0.259	0.0069	N/A
1 1 -2 2	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	126.3	143.1	0.4736460226973221	6.1363498531293015	N/A	N/A	0.474	0.0126	N/A
1 1 -2 2	prismatic_a	1	b	1	-1 2 -1 0	-1 0 1 0	70.0	126.3	-0.20228914858200217	5.6281258941143095	2307.7	0.001	0.202	0.0064	0.000003
1 1 -2 2	prismatic_a	1	c	1	-1 2 -1 0	0 0 0 1	70.0	43.1	0.24946040744942716	5.2054	2302.8	0.001	0.249	0.0092	0.000004
1 1 -2 2	prismatic_a	1	b+c	1	-1 2 -1 0	-1 0 1 1	70.0	86.5	0.020874820301003606	7.666289209258936	N/A	N/A	0.021	0.0004	N/A
1 1 -2 2	prismatic_a	1	b+c	2	-1 2 -1 0	-1 0 1 -1	70.0	158.5	-0.3178917379403341	7.666289209258936	N/A	N/A	0.318	0.0054	N/A
1 1 -2 2	prismatic_a	1	b/2+c	1	-1 2 -1 0	-1 0 1 2	70.0	68.9	0.12324531730080254	11.834718320264324	N/A	N/A	0.123	0.0009	N/A
1 1 -2 2	prismatic_a	1	b/2+c	2	-1 2 -1 0	-1 0 1 -2	70.0	157.5	-0.3156468201497492	11.834718320264324	N/A	N/A	0.316	0.0023	N/A
1 1 -2 2	prismatic_a	1	3 0 -3 2	3	-1 2 -1 0	3 0 -3 2	70.0	27.5	0.30311596382408873	19.836001773542975	N/A	N/A	0.303	0.0008	N/A
