orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	1	a	1	-1 0 1 0	-1 2 -1 0	134.9	135.1	0.4999976742401682	3.2494	1147.7	0.001	0.500	0.0474	0.000041
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	134.9	128.7	0.4410548778420383	11.050954366026494	N/A	N/A	0.441	0.0036	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	134.9	128.7	0.4410548778420383	11.050954366026494	N/A	N/A	0.441	0.0036	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	134.9	112.0	0.2647652890871276	6.1363498531293015	N/A	N/A	0.265	0.0070	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	134.9	112.0	0.2647652890871276	6.1363498531293015	N/A	N/A	0.265	0.0070	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	74.9	164.9	-0.2513195579285249	3.2494	1147.7	0.001	0.251	0.0238	0.000021
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	74.9	148.4	-0.22169246506063853	11.050954366026494	N/A	N/A	0.222	0.0018	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	74.9	148.4	-0.22169246506063853	11.050954366026494	N/A	N/A	0.222	0.0018	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	74.9	120.7	-0.133082009838631	6.1363498531293015	N/A	N/A	0.133	0.0035	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	74.9	120.7	-0.133082009838631	6.1363498531293015	N/A	N/A	0.133	0.0035	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	3	a	2	-1 1 0 0	-1 -1 2 0	165.1	104.9	0.2486781162509848	3.2494	1147.7	0.001	0.249	0.0236	0.000021
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	3	\frac{a}{3}+c	3	-1 1 0 0	-1 -1 2 1	165.1	103.1	0.21936241277886592	11.050954366026494	N/A	N/A	0.219	0.0018	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	3	\frac{a}{3}+c	4	-1 1 0 0	-1 -1 2 -1	165.1	103.1	0.21936241277886592	11.050954366026494	N/A	N/A	0.219	0.0018	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	3	a+c	3	-1 1 0 0	-1 -1 2 3	165.1	97.8	0.13168327916291467	6.1363498531293015	N/A	N/A	0.132	0.0035	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_m	3	a+c	4	-1 1 0 0	-1 -1 2 -3	165.1	97.8	0.13168327916291467	6.1363498531293015	N/A	N/A	0.132	0.0035	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	b	1	-1 2 -1 0	-1 0 1 0	135.1	134.9	0.4999976742401682	5.6281258941143095	2307.7	0.001	0.500	0.0158	0.000007
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	b+c	1	-1 2 -1 0	-1 0 1 1	135.1	121.2	0.3670680535080788	7.666289209258936	N/A	N/A	0.367	0.0062	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	b+c	2	-1 2 -1 0	-1 0 1 -1	135.1	121.2	0.3670680535080788	7.666289209258936	N/A	N/A	0.367	0.0062	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	\frac{b+c}{2}_{part}	1	-1 2 -1 0	-1 0 1 1	135.1	121.2	0.3670680535080788	3.833144604629468	N/A	N/A	0.367	0.0250	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	\frac{b+c}{2}_{part}	2	-1 2 -1 0	-1 0 1 -1	135.1	121.2	0.3670680535080788	3.833144604629468	N/A	N/A	0.367	0.0250	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	\frac{b}{2}+c	1	-1 2 -1 0	-1 0 1 2	135.1	109.6	0.23777920024258178	11.834718320264324	N/A	N/A	0.238	0.0017	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	\frac{b}{2}+c	2	-1 2 -1 0	-1 0 1 -2	135.1	109.6	0.23777920024258178	11.834718320264324	N/A	N/A	0.238	0.0017	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	3 0 -3 2	3	-1 2 -1 0	3 0 -3 2	135.1	53.1	-0.42559733905951386	19.836001773542975	N/A	N/A	0.426	0.0011	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	1	3 0 -3 2	4	-1 2 -1 0	3 0 -3 -2	135.1	53.1	-0.42559733905951386	19.836001773542975	N/A	N/A	0.426	0.0011	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	b	3	-1 -1 2 0	-1 1 0 0	104.9	165.1	0.2486781162509848	5.6281258941143095	2307.7	0.001	0.249	0.0079	0.000003
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	b+c	5	-1 -1 2 0	-1 1 0 1	104.9	135.2	0.18256443334529715	7.666289209258936	N/A	N/A	0.183	0.0031	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	b+c	6	-1 -1 2 0	-1 1 0 -1	104.9	135.2	0.18256443334529715	7.666289209258936	N/A	N/A	0.183	0.0031	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	\frac{b+c}{2}_{part}	5	-1 -1 2 0	-1 1 0 1	104.9	135.2	0.18256443334529715	3.833144604629468	N/A	N/A	0.183	0.0124	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	\frac{b+c}{2}_{part}	6	-1 -1 2 0	-1 1 0 -1	104.9	135.2	0.18256443334529715	3.833144604629468	N/A	N/A	0.183	0.0124	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	\frac{b}{2}+c	5	-1 -1 2 0	-1 1 0 2	104.9	117.4	0.11826151730825153	11.834718320264324	N/A	N/A	0.118	0.0008	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	\frac{b}{2}+c	6	-1 -1 2 0	-1 1 0 -2	104.9	117.4	0.11826151730825153	11.834718320264324	N/A	N/A	0.118	0.0008	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	3 0 -3 2	1	-1 -1 2 0	3 -3 0 2	104.9	34.7	-0.21167447373679996	19.836001773542975	N/A	N/A	0.212	0.0005	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	2	3 0 -3 2	2	-1 -1 2 0	3 -3 0 -2	104.9	34.7	-0.21167447373679996	19.836001773542975	N/A	N/A	0.212	0.0005	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	3	b	2	-2 1 1 0	0 -1 1 0	164.9	74.9	-0.2513195579285249	5.6281258941143095	2307.7	0.001	0.251	0.0079	0.000003
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	3	b+c	3	-2 1 1 0	0 -1 1 1	164.9	79.0	-0.1845036201132839	7.666289209258936	N/A	N/A	0.185	0.0031	N/A
[1, -0.7334669338677354, -0.2665330661322645, 0]	prismatic_a	3	b+c	4	-2 1 1 0	0 -1 1 -1	164.9	79.0	-0.1845036201132839	7.666289209258936	N/A	N/A	0.185	0.0031	N/A
