orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1.0, 1.0, -2.0, 0.6864406779661016]	basal	1	a	1	0 0 0 1	-1 2 -1 0	69.9	62.0	0.1615668790294532	3.2494	1070.4	0.001	0.162	0.0153	0.000014
[1.0, 1.0, -2.0, 0.6864406779661016]	basal	1	a	2	0 0 0 1	-1 -1 2 0	69.9	159.9	-0.3231337580589064	3.2494	1070.4	0.001	0.323	0.0306	0.000029
[1.0, 1.0, -2.0, 0.6864406779661016]	basal	1	a	3	0 0 0 1	-2 1 1 0	69.9	118.0	-0.1615668790294532	3.2494	1070.4	0.001	0.162	0.0153	0.000014
[1.0, 1.0, -2.0, 0.6864406779661016]	basal	1	b	1	0 0 0 1	-1 0 1 0	69.9	144.4	-0.2798420433110797	5.6281258941143095	1385.3	0.001	0.280	0.0088	0.000006
[1.0, 1.0, -2.0, 0.6864406779661016]	basal	1	b	2	0 0 0 1	0 -1 1 0	69.9	144.4	-0.2798420433110797	5.6281258941143095	1385.3	0.001	0.280	0.0088	0.000006
[1.0, 1.0, -2.0, 0.6864406779661016]	basal	1	p_{part}	1	0 0 0 1	-1 0 1 0	69.9	144.4	-0.2798420433110797	1.87604196470477	N/A	N/A	0.280	0.0795	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	69.9	144.4	-0.2798420433110797	1.87604196470477	N/A	N/A	0.280	0.0795	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	1	a	1	-1 0 1 0	-1 2 -1 0	144.4	62.0	-0.38172471462907703	3.2494	1147.7	0.001	0.382	0.0362	0.000032
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	144.4	69.9	-0.2798420433110797	5.2054	2121.8	0.001	0.280	0.0103	0.000005
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	144.4	54.8	-0.46854040508547135	11.050954366026494	N/A	N/A	0.469	0.0038	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	144.4	75.4	-0.20490891698045544	11.050954366026494	N/A	N/A	0.205	0.0017	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	144.4	57.3	-0.4395228636763134	6.1363498531293015	N/A	N/A	0.440	0.0117	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	144.4	92.5	0.035251165538671164	6.1363498531293015	N/A	N/A	0.035	0.0009	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	144.4	118.0	0.38172471462907703	3.2494	1147.7	0.001	0.382	0.0362	0.000032
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	2	c	1	0 -1 1 0	0 0 0 1	144.4	69.9	-0.2798420433110797	5.2054	2121.8	0.001	0.280	0.0103	0.000005
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	144.4	104.6	0.20490891698045544	11.050954366026494	N/A	N/A	0.205	0.0017	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	144.4	125.2	0.46854040508547135	11.050954366026494	N/A	N/A	0.469	0.0038	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	144.4	87.5	-0.035251165538671164	6.1363498531293015	N/A	N/A	0.035	0.0009	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	144.4	122.7	0.4395228636763134	6.1363498531293015	N/A	N/A	0.440	0.0117	N/A
[1.0, 1.0, -2.0, 0.6864406779661016]	prismatic_a	1	b	1	-1 2 -1 0	-1 0 1 0	62.0	144.4	-0.38172471462907703	5.6281258941143095	2307.7	0.001	0.382	0.0121	0.000005
