orient	plane_conv_name	i	b_conv_name	j	plane	b	phi(orient_vs_plane)	lambda(orient_vs_b)	Schmid	b_norm	GSF_barrier	GSF_shift	abs(Schmid)	m/b2	m/(b2*GSF)
[1, 1, -2, 5.143714285714286]	basal	1	a	1	0 0 0 1	-1 2 -1 0	20.0	80.2	0.16073307691632807	3.2494	1070.4	0.001	0.161	0.0152	0.000014
[1, 1, -2, 5.143714285714286]	basal	1	a	2	0 0 0 1	-1 -1 2 0	20.0	110.0	-0.3214661539266222	3.2494	1070.4	0.001	0.321	0.0304	0.000028
[1, 1, -2, 5.143714285714286]	basal	1	a	3	0 0 0 1	-2 1 1 0	20.0	99.8	-0.16073307691632807	3.2494	1070.4	0.001	0.161	0.0152	0.000014
[1, 1, -2, 5.143714285714286]	basal	1	b	1	0 0 0 1	-1 0 1 0	20.0	107.2	-0.27839785574295495	5.6281258941143095	1385.3	0.001	0.278	0.0088	0.000006
[1, 1, -2, 5.143714285714286]	basal	1	b	2	0 0 0 1	0 -1 1 0	20.0	107.2	-0.27839785574295495	5.6281258941143095	1385.3	0.001	0.278	0.0088	0.000006
[1, 1, -2, 5.143714285714286]	basal	1	p_{part}	1	0 0 0 1	-1 0 1 0	20.0	107.2	-0.27839785574295495	1.87604196470477	N/A	N/A	0.278	0.0791	N/A
[1, 1, -2, 5.143714285714286]	basal	1	p_{part}	2	0 0 0 1	0 -1 1 0	20.0	107.2	-0.27839785574295495	1.87604196470477	N/A	N/A	0.278	0.0791	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	1	a	1	-1 0 1 0	-1 2 -1 0	107.2	80.2	-0.05067915629588987	3.2494	1147.7	0.001	0.051	0.0048	0.000004
[1, 1, -2, 5.143714285714286]	prismatic_m	1	c	1	-1 0 1 0	0 0 0 1	107.2	20.0	-0.27839785574295495	5.2054	2121.8	0.001	0.278	0.0103	0.000005
[1, 1, -2, 5.143714285714286]	prismatic_m	1	\frac{a}{3}+c	1	-1 0 1 0	-1 2 -1 1	107.2	53.6	-0.1758402654877354	11.050954366026494	N/A	N/A	0.176	0.0014	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	1	\frac{a}{3}+c	2	-1 0 1 0	-1 2 -1 -1	107.2	107.0	0.086430693229529	11.050954366026494	N/A	N/A	0.086	0.0007	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	1	a+c	1	-1 0 1 0	-1 2 -1 3	107.2	27.4	-0.26299821348557606	6.1363498531293015	N/A	N/A	0.263	0.0070	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	1	a+c	2	-1 0 1 0	-1 2 -1 -3	107.2	135.0	0.2093256379618831	6.1363498531293015	N/A	N/A	0.209	0.0056	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	2	a	3	0 -1 1 0	-2 1 1 0	107.2	99.8	0.05067915629588987	3.2494	1147.7	0.001	0.051	0.0048	0.000004
[1, 1, -2, 5.143714285714286]	prismatic_m	2	c	1	0 -1 1 0	0 0 0 1	107.2	20.0	-0.27839785574295495	5.2054	2121.8	0.001	0.278	0.0103	0.000005
[1, 1, -2, 5.143714285714286]	prismatic_m	2	\frac{a}{3}+c	5	0 -1 1 0	-2 1 1 1	107.2	73.0	-0.086430693229529	11.050954366026494	N/A	N/A	0.086	0.0007	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	2	\frac{a}{3}+c	6	0 -1 1 0	-2 1 1 -1	107.2	126.4	0.1758402654877354	11.050954366026494	N/A	N/A	0.176	0.0014	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	2	a+c	5	0 -1 1 0	-2 1 1 3	107.2	45.0	-0.2093256379618831	6.1363498531293015	N/A	N/A	0.209	0.0056	N/A
[1, 1, -2, 5.143714285714286]	prismatic_m	2	a+c	6	0 -1 1 0	-2 1 1 -3	107.2	152.6	0.26299821348557606	6.1363498531293015	N/A	N/A	0.263	0.0070	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	b	1	-1 2 -1 0	-1 0 1 0	80.2	107.2	-0.05067915629588987	5.6281258941143095	2307.7	0.001	0.051	0.0016	0.000001
[1, 1, -2, 5.143714285714286]	prismatic_a	1	c	1	-1 2 -1 0	0 0 0 1	80.2	20.0	0.16073307691632807	5.2054	2302.8	0.001	0.161	0.0059	0.000003
[1, 1, -2, 5.143714285714286]	prismatic_a	1	b+c	1	-1 2 -1 0	-1 0 1 1	80.2	65.1	0.07193197017537174	7.666289209258936	N/A	N/A	0.072	0.0012	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	b+c	2	-1 2 -1 0	-1 0 1 -1	80.2	148.8	-0.14634311330332764	7.666289209258936	N/A	N/A	0.146	0.0025	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	\frac{b+c}{2}_{part}	1	-1 2 -1 0	-1 0 1 1	80.2	65.1	0.07193197017537174	3.833144604629468	N/A	N/A	0.072	0.0049	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	\frac{b+c}{2}_{part}	2	-1 2 -1 0	-1 0 1 -1	80.2	148.8	-0.14634311330332764	3.833144604629468	N/A	N/A	0.146	0.0100	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	\frac{b}{2}+c	1	-1 2 -1 0	-1 0 1 2	80.2	46.7	0.11729313766337679	11.834718320264324	N/A	N/A	0.117	0.0008	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	\frac{b}{2}+c	2	-1 2 -1 0	-1 0 1 -2	80.2	165.4	-0.16549515889807156	11.834718320264324	N/A	N/A	0.165	0.0012	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	3 0 -3 2	3	-1 2 -1 0	3 0 -3 2	80.2	41.8	0.12749776701852147	19.836001773542975	N/A	N/A	0.127	0.0003	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	1	3 0 -3 2	4	-1 2 -1 0	3 0 -3 -2	80.2	103.9	-0.04122170943468052	19.836001773542975	N/A	N/A	0.041	0.0001	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	c	1	-1 -1 2 0	0 0 0 1	110.0	20.0	-0.3214661539266222	5.2054	2302.8	0.001	0.321	0.0119	0.000005
[1, 1, -2, 5.143714285714286]	prismatic_a	2	b+c	5	-1 -1 2 0	-1 1 0 1	110.0	50.4	-0.21827508354250222	7.666289209258936	N/A	N/A	0.218	0.0037	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	b+c	6	-1 -1 2 0	-1 1 0 -1	110.0	129.6	0.21827508354250222	7.666289209258936	N/A	N/A	0.218	0.0037	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	\frac{b+c}{2}_{part}	5	-1 -1 2 0	-1 1 0 1	110.0	50.4	-0.21827508354250222	3.833144604629468	N/A	N/A	0.218	0.0149	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	\frac{b+c}{2}_{part}	6	-1 -1 2 0	-1 1 0 -1	110.0	129.6	0.21827508354250222	3.833144604629468	N/A	N/A	0.218	0.0149	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	\frac{b}{2}+c	5	-1 -1 2 0	-1 1 0 2	110.0	34.2	-0.28278829664410865	11.834718320264324	N/A	N/A	0.283	0.0020	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	\frac{b}{2}+c	6	-1 -1 2 0	-1 1 0 -2	110.0	145.8	0.28278829664410865	11.834718320264324	N/A	N/A	0.283	0.0020	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	3 0 -3 2	1	-1 -1 2 0	3 -3 0 2	110.0	60.5	-0.16871947648541402	19.836001773542975	N/A	N/A	0.169	0.0004	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	2	3 0 -3 2	2	-1 -1 2 0	3 -3 0 -2	110.0	119.5	0.16871947648541402	19.836001773542975	N/A	N/A	0.169	0.0004	N/A
[1, 1, -2, 5.143714285714286]	prismatic_a	3	b	2	-2 1 1 0	0 -1 1 0	99.8	107.2	0.05067915629588987	5.6281258941143095	2307.7	0.001	0.051	0.0016	0.000001
